Category,Image_AP,Image_AUC,Max_Conf_Anomaly,Max_Conf_Normal
bottle,0.8981,0.6937,0.6886,0.6457
cable,0.5864,0.3902,0.4933,0.4798
capsule,0.8427,0.5104,0.565,0.559
carpet,0.602,0.122,0.5084,0.5104
grid,0.7322,0.4678,0.5537,0.5201
hazelnut,0.8535,0.7021,0.8877,0.8577
leather,0.9748,0.9171,0.577,0.4336
metal_nut,0.6846,0.1935,0.7817,0.7883
pill,0.851,0.5596,0.6126,0.5216
screw,0.7618,0.5488,0.5972,0.5877
tile,0.9169,0.7615,0.6376,0.5561
toothbrush,0.8565,0.6278,0.735,0.5978
transistor,0.478,0.4788,0.6566,0.6303
wood,0.6648,0.2649,0.6985,0.7111
zipper,0.7464,0.3884,0.6165,0.5879
