epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7529,2.68832,9.69141,2.77218,0.25095,0.11269,0.00109,0.00032,2.89012,26.1527,3.24123,0.000273115,0.000273115,0.000273115
2,21.9633,2.60439,4.89183,2.62106,0.00011,0.07955,9e-05,2e-05,nan,nan,nan,0.000539876,0.000539876,0.000539876
3,32.3908,2.63479,4.49373,2.67992,0.26424,0.07159,0.01523,0.00399,3.00672,15.799,3.34293,0.000795642,0.000795642,0.000795642
4,42.4039,2.55275,4.34517,2.66338,0.0025,0.31455,0.00264,0.00068,2.79797,38.0221,2.95865,0.00078352,0.00078352,0.00078352
5,51.6783,2.51411,4.28431,2.66137,0.0036,0.06123,0.00234,0.0008,3.6163,4.99264,5.54024,0.000767026,0.000767026,0.000767026
6,61.7827,2.43255,4.16103,2.55065,0.90619,0.05682,0.04319,0.01776,2.60721,3.64742,2.74531,0.000750533,0.000750533,0.000750533
7,71.0868,2.42713,3.99891,2.52003,0.77045,0.03977,0.02163,0.00652,2.8749,4.14414,2.85777,0.00073404,0.00073404,0.00073404
8,80.183,2.34194,3.91125,2.52607,0.77156,0.11269,0.01191,0.00458,2.55446,7.63783,2.6626,0.000717546,0.000717546,0.000717546
9,89.0693,2.3014,3.88458,2.47421,0.70612,0.06402,0.03201,0.01352,2.90338,4.87015,2.96551,0.000701053,0.000701053,0.000701053
10,97.9386,2.21466,3.66424,2.39955,0.76125,0.08086,0.08658,0.03535,2.46739,3.36339,2.60438,0.000684559,0.000684559,0.000684559
11,106.791,2.20298,3.65915,2.41662,0.69304,0.06364,0.06494,0.02805,2.35318,3.6029,2.52679,0.000668066,0.000668066,0.000668066
12,115.75,2.15948,3.55275,2.38117,0.94421,0.06347,0.08913,0.04146,2.44626,3.48161,2.61769,0.000651573,0.000651573,0.000651573
13,124.683,2.12058,3.43195,2.33944,0.75639,0.10341,0.09949,0.04189,2.36991,3.38886,2.55522,0.000635079,0.000635079,0.000635079
14,133.811,2.10168,3.51044,2.32158,0.70153,0.12332,0.08023,0.03554,2.38926,3.719,2.5266,0.000618586,0.000618586,0.000618586
15,142.919,2.03647,3.42118,2.28293,0.73671,0.19265,0.12399,0.05788,2.32156,3.43021,2.47835,0.000602092,0.000602092,0.000602092
16,151.952,2.02795,3.36194,2.302,0.781,0.09564,0.08723,0.03753,2.37174,3.65704,2.5381,0.000585599,0.000585599,0.000585599
17,160.443,1.99671,3.33883,2.24912,0.36281,0.12318,0.08735,0.04448,2.30005,3.21438,2.49155,0.000569106,0.000569106,0.000569106
18,170.607,1.96679,3.25218,2.22422,0.35802,0.14297,0.11577,0.05153,2.35888,3.24112,2.50611,0.000552612,0.000552612,0.000552612
19,179.462,1.96749,3.2513,2.23848,0.44766,0.12519,0.09463,0.04727,2.38567,3.51051,2.57696,0.000536119,0.000536119,0.000536119
20,188.29,1.94541,3.19771,2.22851,0.7637,0.12273,0.12369,0.06047,2.38071,3.23786,2.56951,0.000519625,0.000519625,0.000519625
21,197.266,1.91982,3.09723,2.21538,0.41746,0.15,0.10571,0.0494,2.28329,3.22254,2.44738,0.000503132,0.000503132,0.000503132
22,206.062,1.90032,3.08468,2.17846,0.39164,0.15285,0.12177,0.05171,2.3681,3.21416,2.5653,0.000486639,0.000486639,0.000486639
23,214.824,1.884,3.0138,2.16765,0.91581,0.08068,0.11554,0.05733,2.28693,3.16701,2.43367,0.000470145,0.000470145,0.000470145
24,223.777,1.86063,2.98561,2.14555,0.53276,0.20659,0.12632,0.0538,2.30172,3.19977,2.47973,0.000453652,0.000453652,0.000453652
25,232.588,1.82635,2.91751,2.10048,0.78603,0.15492,0.122,0.05247,2.38319,3.20565,2.55088,0.000437158,0.000437158,0.000437158
26,241.86,1.82398,2.88254,2.10517,0.73386,0.13883,0.11664,0.0548,2.2854,3.18375,2.43948,0.000420665,0.000420665,0.000420665
27,251.244,1.80521,2.8422,2.09444,0.371,0.11998,0.10998,0.05456,2.28631,3.29794,2.49642,0.000404172,0.000404172,0.000404172
28,261.708,1.7898,2.76652,2.08909,0.22597,0.19612,0.11878,0.05282,2.32719,3.26156,2.5146,0.000387678,0.000387678,0.000387678
29,271.676,1.77716,2.77834,2.05728,0.35012,0.19969,0.12216,0.05981,2.24865,3.12246,2.44185,0.000371185,0.000371185,0.000371185
30,282.465,1.72659,2.67229,2.03091,0.37029,0.17639,0.11934,0.05178,2.36735,3.34098,2.51145,0.000354691,0.000354691,0.000354691
31,291.987,1.73122,2.59931,2.01492,0.70759,0.17405,0.12812,0.06207,2.31197,3.15641,2.47817,0.000338198,0.000338198,0.000338198
32,301.808,1.70982,2.58863,2.01041,0.26265,0.17342,0.11368,0.062,2.27368,3.22485,2.49607,0.000321705,0.000321705,0.000321705
33,312.68,1.66839,2.52723,1.96257,0.25434,0.19333,0.13185,0.07173,2.25769,3.19112,2.42145,0.000305211,0.000305211,0.000305211
34,322.223,1.67535,2.50584,1.98133,0.12772,0.18531,0.12796,0.06072,2.35351,3.22543,2.52766,0.000288718,0.000288718,0.000288718
35,332.324,1.63918,2.37686,1.93335,0.13325,0.15997,0.12133,0.05784,2.3515,3.38483,2.51009,0.000272224,0.000272224,0.000272224
36,341.83,1.60263,2.32815,1.9172,0.45782,0.17392,0.13459,0.05531,2.30554,3.18972,2.48434,0.000255731,0.000255731,0.000255731
37,349.969,1.64351,2.30389,1.94583,0.20466,0.1892,0.1242,0.06052,2.31963,3.43798,2.5097,0.000239238,0.000239238,0.000239238
38,358.73,1.59514,2.2448,1.91916,0.13377,0.17598,0.13848,0.06336,2.36816,3.19993,2.62068,0.000222744,0.000222744,0.000222744
39,367.565,1.53606,2.18185,1.86946,0.10658,0.18144,0.12509,0.05767,2.31634,3.24023,2.53348,0.000206251,0.000206251,0.000206251
40,376.597,1.55257,2.13771,1.8614,0.10596,0.14741,0.12685,0.06597,2.29989,3.15843,2.54972,0.000189757,0.000189757,0.000189757
41,386.665,1.50503,2.05694,1.83889,0.10736,0.19169,0.12037,0.06104,2.33695,3.21414,2.56983,0.000173264,0.000173264,0.000173264
